"#","Episode","UserRating","UserVotes"
"9.1","Mr. Garrison's Fancy New Vagina","7.7","1,425"
"9.2","Die Hippie, Die","8.8","1,761"
"9.3","Wing","7.5","1,283"
"9.4","Best Friends Forever","8.7","1,524"
"9.5","The Losing Edge","8.7","1,575"
"9.6","The Death of Eric Cartman","9.1","2,105"
"9.7","Erection Day","7.7","1,289"
"9.8","Two Days Before the Day After Tomorrow","8.5","1,568"
"9.9","Marjorine","8.7","1,570"
"9.10","Follow That Egg","8.0","1,238"
"9.11","Ginger Kids","8.8","1,709"
"9.12","Trapped in the Closet","9.2","2,863"
"9.13","Free Willzyx","8.2","1,432"
"9.14","Bloody Mary","7.9","1,338"
"10.1","The Return of Chef","8.2","1,608"
"10.2","Smug Alert!","8.2","1,473"
"10.3","Cartoon Wars: Part 1","8.8","1,779"
"10.4","Cartoon Wars: Part 2","8.8","1,722"
"10.5","A Million Little Fibers","6.3","1,853"
"10.6","ManBearPig","8.0","1,737"
"10.7","Tsst","9.0","2,180"
"10.8","Make Love, Not Warcraft","9.6","4,840"
"10.9","Mystery of the Urinal Deuce","8.3","1,543"
"10.10","Miss Teacher Bangs a Boy","8.5","1,648"
"10.11","Hell on Earth 2006","8.1","1,434"
"10.12","Go God Go","8.7","1,645"
"10.13","Go God Go XII","8.7","1,581"
"10.14","Stanley's Cup","7.4","1,749"
"11.1","With Apologies to Jesse Jackson","8.8","2,136"
"11.2","Cartman Sucks","8.9","1,994"
"11.3","Lice Capades","8.0","1,594"
"11.4","The Snuke","8.4","1,661"
"11.5","Fantastic Easter Special","8.3","1,536"
"11.6","D-Yikes!","8.0","1,588"
"11.7","Night of the Living Homeless","8.8","1,968"
"11.8","Le Petit Tourette","8.9","2,049"
"11.9","More Crap","8.0","1,671"
"11.10","Imaginationland","9.1","2,611"
"11.11","Imaginationland: Episode II","9.0","2,128"
"11.12","Imaginationland: Episode III","9.0","2,113"
"11.13","Guitar Queer-o","8.4","1,783"
"11.14","The List","8.5","1,602"
"12.1","Tonsil Trouble","7.9","1,579"
"12.2","Britney's New Look","7.0","1,711"
"12.3","Major Boobage","8.7","2,049"
"12.4","Canada on Strike","8.0","1,530"
"12.5","Eek, a Penis!","7.7","1,393"
"12.6","Over Logging","8.6","1,720"
"12.7","Super Fun Time","8.3","1,455"
"12.8","The China Probrem","7.9","1,620"
"12.9","Breast Cancer Show Ever","8.6","1,595"
"12.10","Pandemic","8.1","1,295"
"12.11","Pandemic 2: The Startling","7.9","1,264"
"12.12","About Last Night...","7.8","1,352"
"12.13","Elementary School Musical","7.8","1,288"
"12.14","The Ungroundable","7.9","1,264"
"13.1","The Ring","8.2","1,618"
"13.2","The Coon","8.4","1,654"
"13.3","Margaritaville","8.6","1,628"
"13.4","Eat, Pray, Queef","6.5","1,475"
"13.5","Fishsticks","8.8","2,059"
"13.6","Pinewood Derby","7.9","1,322"
"13.7","Fatbeard","8.2","1,424"
"13.8","Dead Celebrities","7.8","1,306"
"13.9","Butters' Bottom Bitch","8.7","1,660"
"13.10","W.T.F.","8.2","1,311"
"13.11","Whale Whores","8.3","1,356"
"13.12","The F Word","8.1","1,295"
"13.13","Dances with Smurfs","8.2","1,228"
"13.14","Pee","7.7","1,205"
"14.1","Sexual Healing","7.6","1,350"
"14.2","The Tale of Scrotie McBoogerballs","7.9","1,386"
"14.3","Medicinal Fried Chicken","8.7","1,811"
"14.4","You Have 0 Friends","8.8","1,872"
"14.5","200","8.7","1,533"
"14.6","201","8.7","1,303"
"14.7","Crippled Summer","6.9","1,395"
"14.8","Poor and Stupid","7.5","1,218"
"14.9","It's a Jersey Thing","8.0","1,333"
"14.10","Insheeption","8.1","1,313"
"14.11","Coon 2: Hindsight","8.2","1,173"
"14.12","Mysterion Rises","8.3","1,227"
"14.13","Coon vs. Coon and Friends","8.3","1,163"
"14.14","Crème Fraiche","8.1","1,278"
"15.1","HUMANCENTiPAD","7.7","1,719"
"15.2","Funnybot","6.3","1,395"
"15.3","Royal Pudding","6.8","1,328"
"15.4","T.M.I.","8.0","1,228"
"15.5","Crack Baby Athletic Association","7.4","1,195"
"15.6","City Sushi","7.9","1,310"
"15.7","You're Getting Old","8.6","1,742"
"15.8","Ass Burgers","8.0","1,327"
"15.9","The Last of the Meheecans","8.0","1,198"
"15.10","Bass to Mouth","7.5","1,098"
"15.11","Broadway Bro Down","7.9","1,123"
"15.12","1%","7.8","1,085"
"15.13","A History Channel Thanksgiving","7.3","1,075"
"15.14","The Poor Kid","7.9","1,040"
"16.1","Reverse Cowgirl","7.8","1,377"
"16.2","Cash for Gold","7.9","1,264"
"16.3","Faith Hilling","7.2","1,245"
"16.4","Jewpacabra","6.7","1,191"
"16.5","Butterballs","7.6","1,163"
"16.6","I Should Have Never Gone Ziplining","6.7","1,506"
"16.7","Cartman Finds Love","8.1","1,273"
"16.8","Sarcastaball","7.5","1,195"
"16.9","Raising the Bar","8.2","1,216"
"16.10","Insecurity","8.3","1,207"
"16.11","Going Native","6.5","1,044"
"16.12","A Nightmare on Facetime","8.3","1,164"
"16.13","A Scause for Applause","7.3","955"
"16.14","Obama Wins!","7.4","1,034"
"17.1","Let Go, Let Gov","7.5","1,285"
"17.2","Informative Murder Porn","8.1","1,303"
"17.3","World War Zimmerman","7.8","1,347"
"17.4","Goth Kids 3: Dawn of the Posers","6.9","1,166"
"17.5","Taming Strange","7.3","1,041"
"17.6","Ginger Cow","7.8","1,152"
"17.7","Black Friday","9.0","1,928"
"17.8","A Song of Ass and Fire","8.8","1,616"
"17.9","Titties and Dragons","8.8","1,470"
"17.10","The Hobbit","8.5","1,356"
"18.1","Go Fund Yourself","7.8","1,500"
"18.2","Gluten Free Ebola","7.8","1,312"
"18.3","The Cissy","8.6","1,632"
"18.4","Handicar","7.4","1,226"
"18.5","The Magic Bush","8.0","1,171"
"18.6","Freemium Isn't Free","8.3","1,259"
"18.7","Grounded Vindaloop","9.2","2,369"
"18.8","C... Magic","8.4","1,284"
"18.9","#REHASH","7.5","1,050"
"18.10","#HappyHolograms","6.8","1,119"
"19.1","Stunning and Brave","7.7","1,699"
"19.2","Where My Country Gone?","8.3","1,534"
"19.3","The City Part of Town","7.6","1,311"
"19.4","You're Not Yelping","8.1","1,304"
"19.5","Safe Space","8.6","1,486"
"19.6","Tweek x Craig","7.9","1,453"
"19.7","Naughty Ninjas","8.4","1,173"
"19.8","Sponsored Content","9.0","1,582"
"19.9","Truth and Advertising","8.3","971"
"19.10","PC Principal Final Justice","8.0","936"
"20.1","Member Berries","8.1","1,325"
"20.2","Skank Hunt","8.3","1,038"
"20.3","The Damned","8.3","967"
"20.4","Wieners Out","8.1","844"
"20.5","Douche and a Danish","7.5","814"
"20.6","Fort Collins","7.6","781"
"20.7","Oh, Jeez","7.4","773"
"20.8","Members Only","7.6","729"
"20.9","Not Funny","7.7","655"
"20.10","The End of Serialization as We Know It","7.2","706"
