"#","Episode","UserRating","UserVotes"
"1.1","Come Back Quentin","8.9","12"
"1.2","Andy Land","5.4","10"
"1.5","Kid Krist","8.4","7"
"2.3","Lt. Bedwell's Yamchips","2.0","7"
"2.6","Harvery Kubrick","2.2","6"
"3.1","Flipped","4.8","5"
